"id","method","path","summary","request_schema","success_response_schema","error_response_schemas","status","issue","frontend_target","destructive","confirmation","backend_prerequisite","canonical_status","last_verified"
"11","GET","/admin/community/posts/{postId}/comments/{commentId}","관리자 커뮤니티 댓글 상세 조회","-","200:AdminCommunityCommentResponse","401:ErrorResponse|403:ErrorResponse|404:ErrorResponse","implemented","#216","src/api/adminCommunityApi.ts -> src/pages/community","no","해당 없음","모의 검증 완료; 실서버 QA 미수행; 댓글 postId는 서버 PR #1649 기준, 공개 Swagger 미반영","admin: documented","2026-09-17"
"12","GET","/admin/dashboard/pending-items","관리자 대시보드 처리 필요 항목 조회","-","200:AdminDashboardPendingItemsResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","alternative","#207","대시보드는 /admin/merchant-place-applications?status=PENDING&page=1&limit=10 및 서버 total 사용","no","해당 없음","옛 게시글 혼합 집계 대신 장소 신청 전용 조회; 서버 API 삭제 의미 아님","admin: documented","2026-09-16T10:57:26.133Z"
"13","GET","/admin/dashboard/recent-activities","관리자 대시보드 최근 운영 활동 조회","-","200:AdminDashboardRecentActivitiesResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminDashboardApi.ts::getAdminDashboardRecentActivities -> src/hooks/useAdminDashboard.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"14","GET","/admin/dashboard/summary","관리자 대시보드 요약 조회","-","200:AdminDashboardSummaryResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminDashboardApi.ts::getAdminDashboardSummary -> src/hooks/useAdminDashboard.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"15","GET","/admin/merchant-owners","Merchant Owner 신청 목록 조회","-","200:MerchantOwnerProfilePageResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminMerchantOwnerApi.ts::getAdminMerchantOwners -> src/hooks/useAdminMerchantOwners.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"16","GET","/admin/merchant-owners/{userId}","Merchant Owner 신청 상세 조회","-","200:MerchantOwnerProfileResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminMerchantOwnerApi.ts::getAdminMerchantOwner -> src/hooks/useAdminMerchantOwners.ts,src/hooks/useAdminMerchantPlaceApplications.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"17","POST","/admin/merchant-owners/{userId}/approve","Merchant Owner 승인","MerchantOwnerReviewRequest","200:MerchantOwnerProfileResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","partial","#207","src/api/adminMerchantOwnerApi.ts::reviewMerchantOwner -> src/api/adminMerchantOwnerApi.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"18","PUT","/admin/merchant-owners/{userId}/onboarding","Merchant Owner 온보딩 완료도 변경","MerchantOnboardingUpdateRequest","200:MerchantOwnerProfileResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminMerchantOwnerApi.ts::updateAdminMerchantOwnerOnboarding -> src/hooks/useAdminMerchantOwners.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"19","GET","/admin/merchant-owners/{userId}/places","Merchant Owner 연결 장소 및 운영 품질 조회","-","200:MerchantOwnerPlaceResponse[]","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminMerchantOwnerApi.ts::getAdminMerchantOwnerPlaces -> src/hooks/useAdminMerchantOwners.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"20","PUT","/admin/merchant-owners/{userId}/places","Merchant Owner 장소 연결 변경","MerchantOwnerPlaceUpdateRequest","200:MerchantOwnerProfileResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminMerchantOwnerApi.ts::replaceAdminMerchantOwnerPlaces -> src/hooks/useAdminMerchantOwners.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"21","PUT","/admin/merchant-owners/{userId}/places/{placeId}/quality","Merchant Owner 장소 운영 품질 지표 변경","MerchantOwnerPlaceQualityUpdateRequest","200:MerchantOwnerPlaceResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminMerchantOwnerApi.ts::updateAdminMerchantOwnerPlaceQuality -> src/hooks/useAdminMerchantOwners.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"22","POST","/admin/merchant-owners/{userId}/reject","Merchant Owner 반려","MerchantOwnerReviewRequest","200:MerchantOwnerProfileResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","partial","#207","src/api/adminMerchantOwnerApi.ts::reviewMerchantOwner -> src/api/adminMerchantOwnerApi.ts","yes","경고 dialog + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"23","POST","/admin/merchant-owners/{userId}/revoke","Merchant Owner 권한 회수","MerchantOwnerReviewRequest","200:MerchantOwnerProfileResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","partial","#207","src/api/adminMerchantOwnerApi.ts::reviewMerchantOwner -> src/api/adminMerchantOwnerApi.ts","yes","경고 dialog + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"24","GET","/admin/merchant-place-applications","관리자 Merchant 장소 신청 목록 조회","-","200:AdminMerchantPlaceApplicationPageResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminMerchantPlaceApplicationApi.ts::getAdminMerchantPlaceApplications -> src/api/adminDashboardApi.ts,src/api/adminPendingWorkApi.ts,src/hooks/useAdminMerchantPlaceApplications.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"25","GET","/admin/merchant-place-applications/{id}","관리자 Merchant 장소 신청 상세 조회","-","200:AdminMerchantPlaceApplicationResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminMerchantPlaceApplicationApi.ts::getAdminMerchantPlaceApplication -> src/hooks/useAdminMerchantPlaceApplications.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"26","POST","/admin/merchant-place-applications/{id}/approve","관리자 Merchant 장소 신청 승인","MerchantPlaceApplicationReviewRequest","200:MerchantPlaceApplicationResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminMerchantPlaceApplicationApi.ts::approveAdminMerchantPlaceApplication -> src/hooks/useAdminMerchantPlaceApplications.ts","no","심사 사유 + 확인 dialog","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"27","GET","/admin/merchant-place-applications/{id}/attachments","관리자 Merchant 장소 신청 첨부파일 목록 조회","-","200:AdminMerchantPlaceApplicationAttachmentResponse[]","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminMerchantPlaceApplicationApi.ts::getAdminMerchantPlaceApplicationAttachments -> src/hooks/useAdminMerchantPlaceApplications.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"28","GET","/admin/merchant-place-applications/{id}/attachments/{attachmentId}/content","관리자 Merchant 장소 신청 첨부파일 다운로드","-","200:{""format"":""byte"",""type"":""string""}","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminMerchantPlaceApplicationApi.ts::downloadAdminMerchantPlaceApplicationAttachment -> src/hooks/useAdminMerchantPlaceApplications.ts,src/hooks/useApplicationAttachmentPreview.ts","no","명시적 다운로드","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"29","POST","/admin/merchant-place-applications/{id}/reject","관리자 Merchant 장소 신청 반려","MerchantPlaceApplicationReviewRequest","200:MerchantPlaceApplicationResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminMerchantPlaceApplicationApi.ts::rejectAdminMerchantPlaceApplication -> src/hooks/useAdminMerchantPlaceApplications.ts","yes","심사 사유 + 확인 dialog","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"30","GET","/admin/notification-deliveries","관리자 알림 발송 결과 조회","-","200:AdminNotificationDeliveryResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminNotificationApi.ts::getAdminNotificationDeliveries -> src/hooks/useAdminNotificationOperations.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"31","GET","/admin/notifications","관리자 알림 목록 조회","-","200:AdminNotificationResponse","400:-|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminNotificationApi.ts::getAdminNotifications -> src/app/providers/AdminNotificationProvider.tsx,src/hooks/useAdminNotificationOperations.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"32","PATCH","/admin/notifications/read","관리자 전체 알림 읽음 처리","-","200:AdminNotificationReadAllResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminNotificationApi.ts::markAllAdminNotificationsAsRead -> src/app/providers/AdminNotificationProvider.tsx,src/hooks/useAdminNotificationOperations.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"33","GET","/admin/notifications/unread-count","관리자 미확인 알림 개수 조회","-","200:AdminNotificationUnreadCountResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminNotificationApi.ts::getAdminUnreadNotificationCount -> src/app/providers/AdminNotificationProvider.tsx","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"34","PATCH","/admin/notifications/{notificationId}/read","관리자 알림 읽음 처리","-","200:AdminNotificationReadResponse","401:ErrorResponse|403:ErrorResponse|404:-","implemented","#207","src/api/adminNotificationApi.ts::markAdminNotificationAsRead -> src/app/providers/AdminNotificationProvider.tsx,src/hooks/useAdminNotificationOperations.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"35","GET","/admin/outbox-events","관리자 Outbox 이벤트 조회","-","200:AdminOutboxEventResponse","400:ErrorResponse|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminNotificationApi.ts::getAdminOutboxEvents -> src/hooks/useAdminNotificationOperations.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"36","POST","/admin/outbox-events/{eventId}/retry","관리자 Outbox 이벤트 재처리","AdminOutboxEventRetryRequest","200:AdminOutboxEventItem","400:ErrorResponse|401:ErrorResponse|403:ErrorResponse|404:ErrorResponse|409:ErrorResponse","implemented","#207","src/api/adminNotificationApi.ts::retryAdminOutboxEvent -> src/hooks/useAdminNotificationOperations.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"37","GET","/admin/place-events","관리자 기간형 이벤트 목록 조회","-","200:AdminPlaceEventListResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceEventApi.ts::getAdminPlaceEvents -> src/hooks/useAdminPlaceEvents.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"38","POST","/admin/place-events","관리자 기간형 이벤트 등록","AdminPlaceEventRequest","201:AdminPlaceEventResponse","400:ErrorResponse|401:ErrorResponse|403:ErrorResponse|404:ErrorResponse","implemented","#207","src/api/adminPlaceEventApi.ts::createAdminPlaceEvent -> src/hooks/useAdminPlaceEvents.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"39","GET","/admin/place-events/{eventId}","관리자 기간형 이벤트 상세 조회","-","200:AdminPlaceEventListItem","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceEventApi.ts::getAdminPlaceEvent -> src/hooks/useAdminPlaceEvents.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"40","PATCH","/admin/place-events/{eventId}","관리자 기간형 이벤트 수정","AdminPlaceEventRequest","200:AdminPlaceEventResponse","400:ErrorResponse|401:ErrorResponse|403:ErrorResponse|404:ErrorResponse|409:ErrorResponse","implemented","#207","src/api/adminPlaceEventApi.ts::updateAdminPlaceEvent -> src/hooks/useAdminPlaceEvents.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"41","POST","/admin/place-events/{eventId}/cancel","관리자 기간형 이벤트 취소","AdminPlaceEventActionRequest","200:AdminPlaceEventResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse|404:ErrorResponse|409:ErrorResponse","implemented","#207","src/api/adminPlaceEventApi.ts::cancelAdminPlaceEvent -> src/hooks/useAdminPlaceEvents.ts","yes","경고 dialog + 처리 사유 + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"42","POST","/admin/place-events/{eventId}/publish","관리자 기간형 이벤트 공개","AdminPlaceEventActionRequest","200:AdminPlaceEventResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse|404:ErrorResponse|409:ErrorResponse","implemented","#207","src/api/adminPlaceEventApi.ts::publishAdminPlaceEvent -> src/hooks/useAdminPlaceEvents.ts","no","경고 dialog + 처리 사유","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"43","GET","/admin/place-information-reports","관리자 장소 정보 신고 목록 조회","-","200:PlaceInformationReportPageResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceVerificationApi.ts::getAdminPlaceInformationReports -> src/api/adminPendingWorkApi.ts,src/hooks/useAdminPlaceInformationReports.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"44","GET","/admin/place-information-reports/{reportId}","관리자 장소 정보 신고 상세 조회","-","200:PlaceInformationReportResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceVerificationApi.ts::getAdminPlaceInformationReport -> src/hooks/useAdminPlaceInformationReports.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"45","POST","/admin/place-information-reports/{reportId}/disputes/{disputeId}/review","관리자 장소 정보 반박 검토","PlaceInformationDisputeReviewRequest","200:PlaceInformationDisputeResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceVerificationApi.ts::reviewAdminPlaceInformationDispute -> src/hooks/useAdminPlaceInformationReports.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"46","POST","/admin/place-information-reports/{reportId}/review","관리자 장소 정보 신고 검토","PlaceInformationReportReviewRequest","200:PlaceInformationReportResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceVerificationApi.ts::reviewAdminPlaceInformationReport -> src/hooks/useAdminPlaceInformationReports.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"47","POST","/admin/place-operating-notices/expire","관리자 상점 운영 상태 공지 만료 처리","-","200:{""additionalProperties"":{""format"":""int32"",""type"":""integer""},""type"":""object""}","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceOperatingNoticeApi.ts::expireAdminPlaceOperatingNotices -> src/hooks/useAdminPlaceOperatingNotices.ts","yes","경고 dialog + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"48","GET","/admin/place-review-deletion-requests","리뷰 삭제 신청 목록 조회","-","200:AdminPlaceReviewDeletionRequestPageResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","partial","#217","src/api/adminPlaceReviewDeletionApi.ts::getAdminPlaceReviewDeletionRequests -> src/hooks/useAdminPlaceReviewDeletionRequests.ts","no","해당 없음","recommendReasons/reviewMedia 표시 연동; 컴포넌트 모의 QA 완료; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"49","GET","/admin/place-review-deletion-requests/{deletionRequestId}","리뷰 삭제 신청 상세 조회","-","200:AdminPlaceReviewDeletionRequestResponse","401:ErrorResponse|403:ErrorResponse","partial","#217","src/api/adminPlaceReviewDeletionApi.ts::getAdminPlaceReviewDeletionRequest -> src/hooks/useAdminPlaceReviewDeletionRequests.ts","no","해당 없음","recommendReasons/reviewMedia 표시 연동; 컴포넌트 모의 QA 완료; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"50","POST","/admin/place-review-deletion-requests/{deletionRequestId}/review","리뷰 삭제 신청 심사","PlaceReviewDeletionRequestReviewRequest","200:AdminPlaceReviewDeletionRequestResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","partial","#217","src/api/adminPlaceReviewDeletionApi.ts::reviewAdminPlaceReviewDeletionRequest -> src/hooks/useAdminPlaceReviewDeletionRequests.ts","review-required","호출 연결 확인; 작업 UI 검증 별도","recommendReasons/reviewMedia 표시 연동; 컴포넌트 모의 QA 완료; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"51","GET","/admin/places","관리자 장소 목록 조회","-","200:AdminMapPlaceResponse","400:-|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceApi.ts::getAdminPlaces -> src/api/adminTargetSearchApi.ts,src/hooks/useAdminPlaces.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"52","GET","/admin/places/duplicate-candidates","관리자 중복 장소 후보 조회","-","200:AdminPlaceDuplicateCandidateListResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceMergeApi.ts::getAdminPlaceDuplicateReviewCandidates -> src/api/adminPendingWorkApi.ts,src/hooks/useAdminPlaceDuplicateCandidates.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"53","GET","/admin/places/duplicate-candidates/{candidateId}","관리자 중복 장소 후보 상세 조회","-","200:AdminPlaceDuplicateCandidateResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceMergeApi.ts::getAdminPlaceDuplicateReviewCandidate -> src/hooks/useAdminPlaceDuplicateCandidates.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"54","POST","/admin/places/duplicate-candidates/{candidateId}/confirm","관리자 중복 장소 후보 확정","AdminPlaceDuplicateDecisionRequest","200:AdminPlaceDuplicateCandidateResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceMergeApi.ts::confirmAdminPlaceDuplicateCandidate -> src/hooks/useAdminPlaceDuplicateCandidates.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"55","POST","/admin/places/duplicate-candidates/{candidateId}/merge","관리자 확정 중복 장소 병합","AdminPlaceDuplicateMergeRequest","200:AdminMapPlaceMergeResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceMergeApi.ts::mergeAdminPlaceDuplicateCandidate -> src/hooks/useAdminPlaceDuplicateCandidates.ts","yes","경고 dialog + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"56","POST","/admin/places/duplicate-candidates/{candidateId}/reject","관리자 중복 장소 후보 거절","AdminPlaceDuplicateDecisionRequest","200:AdminPlaceDuplicateCandidateResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceMergeApi.ts::rejectAdminPlaceDuplicateCandidate -> src/hooks/useAdminPlaceDuplicateCandidates.ts","yes","경고 dialog + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
